,time,method,current,voltage,accumulated reward
0,0.0,baseline,0.0,0.0,0.0
1,0.001,baseline,17.605726710763552,3.9971515784428195,-44.00284842155718
2,0.002,baseline,32.312541035089225,15.090649968453427,-76.91219845310376
3,0.003,baseline,41.81810061876571,31.131456872628938,-93.78074158047482
4,0.004,baseline,44.78212954816614,49.24817952277458,-95.0289211032494
5,0.005,baseline,41.005237391459175,66.3538145226495,-113.3827356258989
6,0.006,baseline,31.41120058929279,79.6656233630078,-145.0483589889067
7,0.007,baseline,17.84436550900016,87.15161812612799,-184.1999771150347
8,0.008,baseline,2.723875926131105,87.83311096222171,-224.03308807725642
9,0.009000000000000001,baseline,-11.381757090239663,81.89970805721963,-257.93279613447606
10,0.01,baseline,-22.185878602278905,70.62607032409653,-280.5588664585726
11,0.011,baseline,-28.049165688587333,56.1130063699132,-288.6718728284858
12,0.012,baseline,-28.2218612478993,40.90349971521723,-295.7683731132686
13,0.013000000000000001,baseline,-22.928197691744483,27.542698496532143,-316.22567461673646
14,0.014,baseline,-13.286064875470558,18.157092899410586,-346.06858171732586
15,0.015,baseline,-1.0825201440071501,14.1215921804362,-379.94698953688965
16,0.016,baseline,11.551346543842175,15.865630643893468,-412.08135889299615
17,0.017,baseline,22.507975187438188,22.84417851843725,-437.2371803745589
18,0.018000000000000002,baseline,30.050681313759938,33.67112460233439,-451.5660557722245
19,0.019,baseline,33.08426454214604,46.38576915935221,-453.1802866128723
20,0.02,baseline,31.307555830344665,58.802461537034304,-463.98274814990657
21,0.021,baseline,25.22793090046746,68.88189222021478,-484.8646403701214
22,0.022,baseline,16.041522253989246,75.06170088010275,-511.92634125022414
23,0.023,baseline,5.404897120524056,76.49355637520183,-540.419897625426
24,0.024,baseline,-4.859234663967048,73.15167270797582,-565.5715703334017
25,0.025,baseline,-13.070704374489027,65.80053357840326,-583.372103911805
26,0.026000000000000002,baseline,-17.963293378650718,55.83341488467026,-591.2055187964752
27,0.027,baseline,-18.875657815013483,45.01413749547218,-594.191381301003
28,0.028,baseline,-15.83378327846583,35.16903849931181,-607.0223428016913
29,0.029,baseline,-9.51615762811865,27.882291036910317,-627.140051764781
30,0.03,baseline,-1.1126287760841012,24.244789209387676,-650.8952625553933
31,0.031,baseline,7.8949984062155005,24.69572931493115,-674.1995332404622
32,0.032,baseline,15.990881174444143,28.978957238044874,-693.2205760024173
33,0.033,baseline,21.877227698614586,36.21620000862013,-705.0043759937971
34,0.034,baseline,24.67914293065678,45.079883894453594,-707.9244920993435
35,0.035,baseline,24.07046801200126,54.03254758414505,-713.9570396834886
36,0.036000000000000004,baseline,20.30332082329642,61.590315999625965,-727.5473556831146
37,0.037,baseline,14.140732127518618,66.56581233788545,-746.113168021
38,0.038,baseline,6.707817466220504,68.25126706765114,-766.3644350886511
39,0.039,baseline,-0.7102944238574794,66.51421148936308,-784.8786465780142
40,0.04,baseline,-6.888008063965131,61.793820260589094,-798.6724668386033
41,0.041,baseline,-10.859214123982982,55.00292072643003,-805.6753875650334
42,0.042,baseline,-12.065465842113841,47.35605777341218,-806.3193297916212
43,0.043000000000000003,baseline,-10.430184575404251,40.15532065684095,-814.1640091347803
44,0.044,baseline,-6.349913747843913,34.571211998385635,-827.5927971363947
45,0.045,baseline,-0.6077517304651979,31.45500269469396,-844.1377944417007
46,0.046,baseline,5.773269480854981,31.21219283519411,-860.9256016065067
47,0.047,baseline,11.70995486385874,33.755281836918286,-875.1703197695884
48,0.048,baseline,16.24067670325494,38.54013217351625,-884.6301875960722
49,0.049,baseline,18.678936623436392,44.67620229860522,-887.953985297467
50,0.05,baseline,18.714625961317356,51.08914536049416,-891.0431306579612
0,0.0,avg_tanh,0.0,0.0,0.0
1,0.001,avg_tanh,36.678597314090766,8.327399121755938,-39.67260087824406
2,0.002,avg_tanh,37.90032297995472,24.75999943358267,-62.91260144466139
3,0.003,avg_tanh,26.07339868433178,38.040093648524895,-72.87250779613649
4,0.004,avg_tanh,14.621887422132009,45.476677058121986,-75.3958307380145
5,0.005,avg_tanh,6.526842876918042,48.17911135853797,-75.57494209655246
6,0.006,avg_tanh,4.254886952835085,48.43348475609462,-76.00842685264709
7,0.007,avg_tanh,4.360518044346596,48.192255598258555,-76.20068245090565
8,0.008,avg_tanh,4.611026382814456,48.04239724229352,-76.24307969319916
9,0.009000000000000001,avg_tanh,4.744656552496038,47.98565770334908,-76.25742198985009
10,0.01,avg_tanh,4.790687070098915,47.97181220884693,-76.28560978100316
11,0.011,avg_tanh,4.800281955670818,47.971063780645366,-76.3145460003578
12,0.012,avg_tanh,4.79969657527987,47.972362065758354,-76.34218393459943
13,0.013000000000000001,avg_tanh,4.7983423748854666,47.97316346569075,-76.36902046890867
14,0.014,avg_tanh,4.797644983649727,47.973467548588545,-76.39555292032013
15,0.015,avg_tanh,4.79741172437817,47.97354899761929,-76.42200392270084
16,0.016,avg_tanh,4.797353428581368,47.97356137237041,-76.44844255033043
17,0.017,avg_tanh,4.797348225584474,47.97355897034446,-76.47488357998597
18,0.018000000000000002,avg_tanh,4.7973519686404,47.97355636274251,-76.50132721724347
19,0.019,avg_tanh,4.79735469505332,47.97355532878822,-76.52777188845525
20,0.02,avg_tanh,4.7973561986725155,47.973555292569245,-76.554216595886
21,0.021,avg_tanh,4.797355130570794,47.973555351766805,-76.5806612441192
22,0.022,avg_tanh,4.797354130194239,47.97355494229407,-76.60710630182513
23,0.023,avg_tanh,4.797356639224229,47.97355489718525,-76.63355140463987
24,0.024,avg_tanh,4.797354036503738,47.9735548243374,-76.65999658030248
25,0.025,avg_tanh,4.797356595618259,47.97355475369077,-76.68644182661171
26,0.026000000000000002,avg_tanh,4.79735514107317,47.97355492833574,-76.71288689827597
27,0.027,avg_tanh,4.797354291604584,47.973554576941254,-76.73933232133471
28,0.028,avg_tanh,4.797354185388715,47.97355402728568,-76.76577829404903
29,0.029,avg_tanh,4.797355924707631,47.973553873537526,-76.7922244205115
30,0.03,avg_tanh,4.797356481191497,47.97355424205788,-76.81867017845363
31,0.031,avg_tanh,4.79735576612803,47.973554556080586,-76.84511562237304
32,0.032,avg_tanh,4.797355817877187,47.97355470777643,-76.87156091459661
33,0.033,avg_tanh,4.7973571773245665,47.97355517285421,-76.8980057417424
34,0.034,avg_tanh,4.797353337870962,47.97355504931234,-76.92445069243006
35,0.035,avg_tanh,4.797355327965548,47.973554524473904,-76.95089616795616
36,0.036000000000000004,avg_tanh,4.7973557008087395,47.97355455302087,-76.97734161493528
37,0.037,avg_tanh,4.797355759094085,47.97355467690022,-77.00378693803506
38,0.038,avg_tanh,4.797357134504422,47.97355512050106,-77.030231817534
39,0.039,avg_tanh,4.797353317383072,47.97355498509051,-77.05667683244349
40,0.04,avg_tanh,4.797355332204631,47.97355445952668,-77.0831223729168
41,0.041,avg_tanh,4.797356274529471,47.973554622204496,-77.1095677507123
42,0.042,avg_tanh,4.79735653351614,47.97355504710042,-77.13601270361188
43,0.043000000000000003,avg_tanh,4.797354978967514,47.973555157828216,-77.16245754578367
44,0.044,avg_tanh,4.797354060734533,47.9735547074202,-77.18890283836348
45,0.045,avg_tanh,4.797357752848642,47.97355491019629,-77.21534792816718
46,0.046,avg_tanh,4.797353686344025,47.97355500632363,-77.24179292184354
47,0.047,avg_tanh,4.7973573024905924,47.97355500964846,-77.26823791219508
48,0.048,avg_tanh,4.79735351111643,47.973554960788455,-77.29468295140663
49,0.049,avg_tanh,4.7973571581773715,47.97355489421173,-77.3211280571949
50,0.05,avg_tanh,4.797353420200022,47.973554797637526,-77.34757325955738
0,0.0,avg_hardtanh,0.0,0.0,0.0
1,0.001,avg_hardtanh,36.678597314090766,8.327399121755938,-39.67260087824406
