,time,method,current,voltage,accumulated reward
0,0.0,hybrid_hardtanh,0.0,0.0,0.0
1,0.001,hybrid_hardtanh,36.682056657520135,8.32902847891057,-39.67097152108943
2,0.002,hybrid_hardtanh,67.32038103615531,31.4417710967816,-56.22920042430783
3,0.003,hybrid_hardtanh,50.478296515560636,56.54382419621815,-64.77302462052597
4,0.004,hybrid_hardtanh,26.040120386136607,71.19842687619173,-87.9714514967177
5,0.005,hybrid_hardtanh,0.0011522816754011523,73.46852753386983,-113.43997903058754
6,0.006,hybrid_hardtanh,0.0021534693156324792,70.20380203799219,-135.64378106857973
7,0.007,hybrid_hardtanh,0.0006286661056068843,67.08415153870845,-154.72793260728818
8,0.008,hybrid_hardtanh,0.0018707735947122255,64.10312893487092,-170.8310615421591
9,0.009000000000000001,hybrid_hardtanh,0.0008063974974700286,61.25429598279835,-184.08535752495743
10,0.01,hybrid_hardtanh,4.8373194447455525e-09,58.532069086407525,-194.61742661136495
11,0.011,hybrid_hardtanh,0.0015648324189644436,55.930821645088365,-202.54824825645332
12,0.012,hybrid_hardtanh,0.0011172328291418777,53.44517750536151,-207.99342576181482
13,0.013000000000000001,hybrid_hardtanh,0.0008676690349036188,51.07617213840714,-211.06959790022196
14,0.014,hybrid_hardtanh,0.0013257242084440766,48.82314294978766,-211.89274085000963
15,0.015,hybrid_hardtanh,4.67373945212746,47.88678201076032,-212.0059588392493
16,0.016,hybrid_hardtanh,4.522491222091647,48.01228154953616,-212.01824038878547
17,0.017,hybrid_hardtanh,4.265504041129417,48.039855646312915,-212.0580960350984
18,0.018000000000000002,hybrid_hardtanh,4.331686442655568,48.024483096280214,-212.08257913137862
19,0.019,hybrid_hardtanh,4.324517351730539,48.02291343059749,-212.10549256197612
20,0.02,hybrid_hardtanh,4.336924333901973,48.022220068163236,-212.12771263013934
21,0.021,hybrid_hardtanh,4.33013025395373,48.02319843547807,-212.1509110656174
22,0.022,hybrid_hardtanh,4.341967564062457,48.024892787648476,-212.17580385326588
23,0.023,hybrid_hardtanh,4.3337952847187875,48.02771089457994,-212.20351474784582
24,0.024,hybrid_hardtanh,4.325293409360585,48.02664364089523,-212.23015838874105
25,0.025,hybrid_hardtanh,4.336298504643885,48.02581362718689,-212.25597201592794
26,0.026000000000000002,hybrid_hardtanh,4.328268289691215,48.02606726392885,-212.2820392798568
27,0.027,hybrid_hardtanh,4.339232232609739,48.02659475679398,-212.3086340366508
28,0.028,hybrid_hardtanh,4.330677638264893,48.02801644285212,-212.3366504795029
29,0.029,hybrid_hardtanh,4.322325896097677,48.025564285725295,-212.3622147652282
30,0.03,hybrid_hardtanh,4.333965096100844,48.02358935080503,-212.38580411603323
31,0.031,hybrid_hardtanh,4.3269266156714,48.02311668575287,-212.4089208017861
32,0.032,hybrid_hardtanh,4.340812353708253,48.023940735703334,-212.43286153748943
33,0.033,hybrid_hardtanh,4.331272043524333,48.025551860830724,-212.45841339832015
34,0.034,hybrid_hardtanh,4.321948671431211,48.022839944280435,-212.48125334260058
35,0.035,hybrid_hardtanh,4.332790049090017,48.020218848927996,-212.5014721915286
36,0.036000000000000004,hybrid_hardtanh,4.343668176063359,48.02261028241637,-212.52408247394496
37,0.037,hybrid_hardtanh,4.334366962541786,48.02562273192913,-212.5497052058741
38,0.038,hybrid_hardtanh,4.3247604598365115,48.02423817662829,-212.57394338250236
39,0.039,hybrid_hardtanh,4.334866480278815,48.02265434506338,-212.59659772756575
40,0.04,hybrid_hardtanh,4.326282424461085,48.02186082967867,-212.61845855724442
41,0.041,hybrid_hardtanh,4.337113885232103,48.02123477163162,-212.63969332887604
42,0.042,hybrid_hardtanh,4.32885153730203,48.02159114779898,-212.661284476675
43,0.043000000000000003,hybrid_hardtanh,4.339565727574926,48.02210848218608,-212.68339295886108
44,0.044,hybrid_hardtanh,4.330786015907687,48.023413031563905,-212.70680599042498
45,0.045,hybrid_hardtanh,4.340686044569771,48.024535253672965,-212.73134124409796
46,0.046,hybrid_hardtanh,4.330943142588296,48.02601666312507,-212.75735790722302
47,0.047,hybrid_hardtanh,4.321480547021062,48.02310395868638,-212.7804618659094
48,0.048,hybrid_hardtanh,4.332266269040455,48.02024735160388,-212.80070921751326
49,0.049,hybrid_hardtanh,4.343177796240354,48.02240902330951,-212.82311824082277
50,0.05,hybrid_hardtanh,4.333989561656244,48.025235186404025,-212.84835342722678
