training steps, time, steps in evaluation, accumulated reward, done, exit condition 
0, 0.0, 200, -2.00784409681756, 1, 0
6204, 0.7372097969055176, 200, -1.0883865879119388, 1, 0
12406, 1.8035252094268799, 200, -0.331431750440582, 1, 0
18609, 2.6954331398010254, 200, -0.6130933960564842, 1, 0
24811, 3.6587624549865723, 200, -1.4090875681444155, 1, 0
31014, 4.599262475967407, 200, -0.9656049652884485, 1, 0
37218, 5.540568113327026, 200, -1.298133119414384, 1, 0
43422, 6.502537727355957, 200, -1.7137826110227505, 1, 0
49628, 7.465801954269409, 200, -2.102097637179858, 1, 0
55830, 8.440182209014893, 200, -2.038808408926511, 1, 0
62035, 9.734406232833862, 200, -2.060701390668376, 1, 0
68240, 10.680318593978882, 200, -1.172668174051664, 1, 0
74443, 11.444605588912964, 200, -0.3278571667795907, 1, 0
80645, 12.187130689620972, 200, -2.1518454549877055, 1, 0
86849, 12.958803415298462, 200, -0.5567474095663826, 1, 0
93051, 13.704041481018066, 200, -0.762343686310983, 1, 0
99253, 14.342286586761475, 200, -0.7230236367603967, 1, 0
105458, 15.033469438552856, 200, -1.4289234286466408, 1, 0
111660, 15.680303812026978, 200, -0.9494768178618592, 1, 0
117866, 16.345017194747925, 200, -0.8180730607311351, 1, 0
124069, 17.00986957550049, 200, -1.6024148804791705, 1, 0
130273, 17.673052072525024, 200, -1.4591835766796084, 1, 0
136483, 18.354035139083862, 200, -1.419444180966523, 1, 0
142687, 19.078112363815308, 200, -1.5005680563356272, 1, 0
148889, 19.713428735733032, 200, -2.0916683053512988, 1, 0
155092, 20.323083639144897, 200, -0.964342138019104, 1, 0
161298, 20.981549501419067, 200, -1.0968532134388769, 1, 0
167500, 21.64457058906555, 200, -2.396901905870164, 1, 0
173702, 22.268463850021362, 200, -1.2068505318217402, 1, 0
179905, 22.926939010620117, 200, -0.7065468972593578, 1, 0
186109, 23.568024158477783, 200, -0.28436268398624664, 1, 0
192311, 24.260785341262817, 200, -0.4317977354665806, 1, 0
198514, 24.95291018486023, 200, -0.843275535144132, 1, 0
204716, 25.672641277313232, 200, -2.2581285268914515, 1, 0
210921, 26.40526294708252, 200, -0.9243318954264521, 1, 0
217127, 27.07210898399353, 200, -2.165710240456646, 1, 0
223332, 27.759270906448364, 200, -2.0820450755336113, 1, 0
229536, 28.47629714012146, 200, -0.9135010757265473, 1, 0
235740, 29.220534324645996, 200, -0.7397255777740789, 1, 0
241942, 29.831732749938965, 200, -2.2044372022897556, 1, 0
248146, 30.489225149154663, 200, -2.5508107147891184, 1, 0
254352, 31.11717176437378, 200, -0.9599637837681048, 1, 0
260554, 31.850013494491577, 200, -1.4119739155295778, 1, 0
266758, 32.523934841156006, 200, -0.571579902119864, 1, 0
272963, 33.230770111083984, 200, -0.709448996316665, 1, 0
279166, 33.8975625038147, 200, -1.542398433726746, 1, 0
285371, 34.68139338493347, 200, -1.258376356935805, 1, 0
291575, 35.347821950912476, 200, -0.31200326668598427, 1, 0
297779, 36.108192443847656, 200, -2.201146943816012, 1, 0
303990, 36.810609102249146, 200, -0.4076937148724224, 1, 0
310194, 37.50373363494873, 200, -0.5260227743265133, 1, 0
316398, 38.175262451171875, 200, -2.458804978099726, 1, 0
322602, 38.825358867645264, 200, -0.027868392489845066, 1, 0
328805, 39.5047767162323, 200, -0.4538797785368605, 1, 0
335043, 40.197625398635864, 200, -0.9965959984191535, 1, 0
341249, 40.83612418174744, 200, -1.9243798238921674, 1, 0
347454, 41.52774715423584, 200, -1.0575940685645078, 1, 0
353657, 42.24164962768555, 200, -0.4983483157266222, 1, 0
359860, 42.8632447719574, 200, -0.32657794060466355, 1, 0
366065, 43.478464126586914, 200, -0.5854578353505866, 1, 0
372271, 44.14786243438721, 200, -1.8656886902411374, 1, 0
378474, 44.80146336555481, 200, -0.5445665298223686, 1, 0
384677, 45.552510261535645, 200, -0.0823967389891785, 1, 0
390884, 46.28042459487915, 200, -1.4556443737074165, 1, 0
397088, 46.88993549346924, 200, -1.7602786008064406, 1, 0
403293, 47.552714347839355, 200, -1.7846865803000245, 1, 0
409496, 48.13954472541809, 200, -1.7609850002235767, 1, 0
415702, 48.95822048187256, 200, -0.8542257986154733, 1, 0
421907, 49.70257878303528, 200, -0.2559193286440414, 1, 0
428109, 50.43920588493347, 200, -1.1377299353705885, 1, 0
434312, 51.18868327140808, 200, -1.486546028741414, 1, 0
440515, 51.86513900756836, 200, -0.9664722688049261, 1, 0
446720, 52.47656583786011, 200, -0.9719122539613855, 1, 0
453120, 53.244669675827026, 200, -1.1821594711984789, 1, 0
459329, 53.885013580322266, 200, -0.44436656410464204, 1, 0
465536, 54.547102212905884, 200, -1.8233273237143561, 1, 0
471742, 55.166470766067505, 200, -0.9602344979222145, 1, 0
477947, 55.90956926345825, 200, -0.6518834389639989, 1, 0
484152, 56.562432527542114, 200, -0.4130196432214861, 1, 0
490382, 57.1770920753479, 200, -0.6856441441880052, 1, 0
496594, 57.88194298744202, 200, -1.7710771334150424, 1, 0
502798, 58.67591977119446, 200, -0.6417478339023546, 1, 0
509002, 59.374176263809204, 200, -2.3270878866834, 1, 0
515207, 60.001275062561035, 200, -0.6482414911410059, 1, 0
521415, 60.69239521026611, 200, -0.9320206764048447, 1, 0
527620, 61.317328453063965, 200, -2.5410822556498953, 1, 0
533827, 61.939775466918945, 200, -0.2491095725088879, 1, 0
540033, 62.54883098602295, 200, -0.5022425899316685, 1, 0
546237, 63.20812368392944, 200, -0.37757434881319274, 1, 0
552442, 63.906445264816284, 200, -0.7303796643915582, 1, 0
558652, 64.49765110015869, 200, -1.2702158225517024, 1, 0
564892, 65.20893931388855, 200, -0.6092027583151725, 1, 0
571099, 65.84835863113403, 200, -0.49550903543335, 1, 0
577301, 66.54351377487183, 200, -2.1004246681748784, 1, 0
583506, 67.24597978591919, 200, -1.0331261282854811, 1, 0
589709, 67.92112565040588, 200, -2.151266446798467, 1, 0
